site_id,visit_date,species,capture_life_stage,capture_animal_state,length,weight
70550,2014-06-24,ramu,adult,healthy,52,16
70550,2014-07-16,ramu,adult,healthy,54,19
70550,2014-07-16,ramu,adult,healthy,61,26
70550,2006-09-14,ramu,adult,healthy,52,18
70550,2006-08-31,ramu,adult,healthy,53,16
70550,2009-07-06,ramu,adult,healthy,67,36
70550,2010-08-13,ramu,adult,healthy,68,38
70550,2012-06-16,ramu,adult,healthy,72,43
70550,2012-07-15,ramu,adult,healthy,69,41
70550,2012-08-29,ramu,adult,healthy,71,44
70550,2013-06-28,ramu,adult,healthy,64,27
70550,2006-08-13,ramu,adult,healthy,54,16
70550,2007-07-01,ramu,adult,healthy,57,20
70550,2007-07-31,ramu,adult,healthy,58,25
70550,2006-08-31,ramu,adult,healthy,54,18
70550,2013-07-29,ramu,adult,sick,67,37
70550,2016-07-13,ramu,adult,healthy,40,7
70550,2013-08-26,ramu,adult,healthy,60,25
70550,2013-08-27,ramu,adult,healthy,50,15
70550,2013-07-31,ramu,adult,healthy,47,9
70550,2013-08-26,ramu,adult,healthy,47,11
70550,2013-09-10,ramu,adult,healthy,42,10
70550,2013-09-10,ramu,adult,healthy,53,14
70550,2013-08-28,ramu,adult,healthy,57,20
70550,2013-08-27,ramu,adult,healthy,52,13
70550,2006-08-13,ramu,adult,healthy,65,31
70550,2016-08-12,ramu,adult,healthy,49,11
70550,2016-07-13,ramu,adult,healthy,65,23
70550,2010-09-07,ramu,adult,healthy,42,7
70550,2013-08-14,ramu,adult,healthy,46,15
70550,2014-08-10,ramu,adult,healthy,45,12
70550,2014-08-10,ramu,adult,healthy,43,7
70550,2014-08-10,ramu,adult,healthy,58,23
70550,2015-08-04,ramu,adult,healthy,65,33
70550,2015-08-04,ramu,adult,healthy,59,22
70550,2015-08-04,ramu,adult,healthy,53,18
70550,2015-08-04,ramu,adult,healthy,57,19
70550,2015-08-04,ramu,adult,healthy,53,17
70550,2015-08-04,ramu,adult,healthy,54,17
70550,2015-08-04,ramu,adult,healthy,53,15
70550,2015-08-04,ramu,adult,healthy,58,20
70550,2015-08-04,ramu,adult,healthy,55,18
